Team = FreeAgents    Players:241
#Position,fname,lname,JerseyNumber,Speed,Agility,Strength,Jumping,Coverage,PassRush,RunCoverage,PassBlocking,RunBlocking,Catch,RunRoute,BreakTackle,HoldOntoBall,PowerRunStyle,PassAccuracy,PassArmStrength,PassReadCoverage,Tackle,KickPower,KickAccuracy,Stamina,Durability,Leadership,Scramble,Composure,Consistency,Aggressiveness,College,DOB,PBP,Photo,YearsPro,Hand,Weight,Height,BodyType,Skin,Face,Dreads,Helmet,FaceMask,Visor,EyeBlack,MouthPiece,LeftGlove,RightGlove,LeftWrist,RightWrist,LeftElbow,RightElbow,Sleeves,LeftShoe,RightShoe,NeckRoll,Turtleneck,
QB,Colin,Kaepernick,7,81,88,63,82,22,31,34,30,28,53,25,37,94,Finesse,69,87,70,42,25,20,89,90,75,83,72,75,20,Nevada,7/14/1988,9007,4351,7,Right,230,6'4",Normal,Skin2,Face3,No,Revolution,FaceMask3,None,No,No,Team4,None,Quarterback,None,None,None,None,Shoe3,Shoe3,None,None,
QB,Jay,Cutler,6,74,68,69,69,12,29,34,26,19,35,10,35,63,Balanced,78,95,77,26,25,20,90,74,77,77,75,77,12,Vanderbilt,4/29/1983,9006,0004,12,Right,220,6'3",Normal,Skin1,Face2,No,Revolution,FaceMask2,None,No,No,None,None,None,None,None,None,White,Shoe2,Shoe2,None,None,
RB,Adrian,Peterson,23,90,90,88,89,12,33,37,70,43,59,63,87,97,Power,28,35,10,42,25,26,98,82,86,46,84,86,15,Oklahoma,3/21/1985,3669,3669,10,Right,217,6'1",Normal,Skin4,Face7,No,Standard,FaceMask7,None,Yes,Yes,Team2,Team2,TapedSmall,TapedSmall,Neoprene,Neoprene,None,Shoe6,Shoe6,None,None,
RB,Alfred,Morris,46,87,82,82,86,19,23,40,56,63,59,52,84,90,Balanced,10,38,10,45,25,25,93,94,80,35,78,80,20,None,12/12/1988,9349,0004,7,Right,218,5'10",Normal,Skin4,Face6,No,Standard,FaceMask5,None,No,No,Team3,Team3,None,None,None,None,None,Shoe4,Shoe4,None,None,
RB,DeMarco,Murray,29,89,91,83,85,12,33,35,70,44,71,75,81,83,Balanced,48,35,10,40,25,26,88,86,89,61,87,89,35,Oklahoma,2/12/1988,9416,0004,7,Right,219,6'0",Normal,Skin4,Face3,No,Revolution,FaceMask5,None,No,No,Team1,Team1,TapedSmall,TapedSmall,None,None,None,Shoe4,Shoe4,None,None,
RB,Eddie,Lacy,27,86,87,82,91,12,27,34,67,54,67,69,85,93,Balanced,28,28,10,40,25,25,92,88,77,45,75,77,15,Alabama,6/2/1990,9027,0004,5,Right,230,5'11",Normal,Skin4,Face7,Yes,Revolution,FaceMask3,None,Yes,No,Type1,Type1,None,None,None,None,None,Shoe3,Shoe3,None,None,
RB,Orleans,Darkwa,26,90,88,76,89,17,30,40,65,49,60,49,88,84,Balanced,28,30,10,42,25,25,89,88,80,46,78,80,40,Tulane,2/28/1992,9026,0004,3,Right,215,6'0",Normal,Skin5,Face6,No,Standard,FaceMask3,None,No,Yes,Type2,Type2,TapedSmall,TapedSmall,None,None,None,Shoe6,Shoe6,None,None,
WR,Dez,Bryant,88,89,89,76,98,18,31,45,45,61,93,88,75,93,Balanced,32,44,10,40,26,21,92,86,92,54,90,92,15,Oklahoma State,11/4/1988,9390,0004,7,Right,222,6'2",Normal,Skin5,Face6,No,Standard,FaceMask3,Clear,Yes,No,Type1,Type1,TapedSmall,TapedSmall,None,None,None,Shoe3,Shoe3,None,None,
WR,Dontrelle,Inman,17,88,92,54,85,17,33,26,35,62,87,79,62,74,Finesse,10,35,10,39,61,54,87,92,72,37,70,72,12,Virginia,1/31/1989,9017,0004,6,Left,205,6'3",Normal,Skin4,Face5,No,Standard,FaceMask3,None,No,No,Team2,Team2,None,None,HighWhite,HighWhite,None,Shoe1,Shoe1,None,None,
WR,Eli,Rogers,17,88,92,62,84,19,36,37,31,64,87,81,42,72,Finesse,25,35,10,27,24,22,92,88,77,48,75,77,12,Louisville,12/23/1992,9350,0004,3,Right,187,5'10",Normal,Skin6,Face5,No,Standard,FaceMask7,Clear,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
WR,Eric,Decker,87,86,85,74,83,17,39,42,40,66,92,85,65,93,Finesse,10,36,10,35,25,25,93,87,87,37,85,87,12,Minnesota,3/15/1987,9087,0004,8,Right,214,6'3",Normal,Skin1,Face6,No,Standard,FaceMask3,None,Yes,No,Team4,Team4,DoubleBlack,DoubleBlack,None,None,None,Shoe3,Shoe3,None,None,
WR,Jeremy,Maclin,18,92,93,57,87,20,32,41,22,37,91,85,54,78,Finesse,10,24,10,20,21,11,93,83,84,39,82,84,15,Missouri,5/11/1988,9018,0004,7,Right,198,6'0",Normal,Skin5,Face5,No,Revolution,FaceMask3,None,Yes,No,Team4,Team4,SingleWhite,SingleWhite,None,None,None,Shoe6,Shoe6,None,None,
WR,Terrell,Owens,81,84,80,70,76,6,12,6,53,57,95,98,90,90,Power,22,20,16,16,15,18,80,73,44,5,43,75,99,Tenn-Chattanooga,12/7/1973,1561,1561,9,Right,226,6'3",Normal,Skin13,Face1,No,Standard,FaceMask3,None,Yes,No,Type3,Type3,None,None,None,None,None,Shoe3,Shoe3,None,None,
TE,Antonio,Gates,85,77,80,63,89,17,46,44,55,55,89,79,75,85,Finesse,10,25,10,44,15,19,87,78,93,34,91,93,12,Kent State,6/18/1980,6123,6123,15,Right,255,6'4",Normal,Skin5,Face7,No,Revolution,FaceMask19,None,Yes,No,Type1,Type1,None,None,HighWhite,HighWhite,None,Taped,Taped,None,None,
TE,Brent,Celek,87,75,74,72,74,17,36,38,55,55,84,72,65,82,Balanced,10,30,10,25,15,15,85,90,86,33,84,86,25,Cincinnati,1/25/1985,9087,0004,10,Right,255,6'4",Normal,Skin1,Face10,No,Standard,FaceMask7,None,No,No,Type4,Type4,TapedSmall,TapedSmall,HighWhite,HighWhite,None,Shoe6,Shoe6,None,None,
TE,Coby,Fleener,82,87,84,75,89,13,35,40,63,58,84,78,68,75,Balanced,10,25,10,42,26,20,90,85,82,37,80,82,20,Stanford,9/20/1988,9082,0004,7,Right,247,6'6",Normal,Skin1,Face5,No,Standard,FaceMask3,Clear,No,No,Team2,Team2,TapedSmall,TapedSmall,None,None,None,Shoe3,Shoe3,None,White,
TE,Julius,Thomas,89,85,86,69,91,17,41,36,70,52,85,75,75,75,Finesse,10,25,10,35,19,19,85,86,77,36,75,77,12,None,6/27/1988,9311,0004,7,Right,250,6'5",Normal,Skin4,Face3,No,Standard,FaceMask7,None,No,No,Team3,Team3,TapedSmall,TapedSmall,Black,Black,None,Shoe6,Shoe6,None,None,
G,Alex,Boone,75,64,55,90,21,10,24,22,72,72,28,10,10,80,Power,6,36,10,26,33,29,75,90,77,25,75,77,20,Ohio State,5/4/1987,9764,0004,8,Right,300,6'8",Large,Skin1,Face15,No,Revolution,FaceMask23,None,No,No,Team3,Team3,TapedSmall,TapedSmall,None,None,None,Shoe3,Shoe3,None,None,
G,J.R.,Sweezy,73,76,64,84,87,17,63,69,79,71,40,10,20,88,Balanced,6,30,10,67,22,21,79,82,80,29,78,80,65,Fresno State,4/8/1989,9073,0004,6,Right,298,6'5",Large,Skin1,Face9,No,Revolution,FaceMask26,None,No,No,Team4,Team4,NeopreneSmall,NeopreneSmall,None,None,None,Shoe1,Shoe1,None,None,
G,Jahri,Evans,73,59,58,87,48,12,26,24,80,74,22,15,21,85,Power,6,26,10,30,14,15,85,89,83,23,81,83,20,None,8/22/1983,9344,0004,12,Right,318,6'4",Large,Skin3,Face15,No,Standard,FaceMask10,None,Yes,No,Type1,Type1,TapedSmall,TapedSmall,Neoprene,Neoprene,None,Shoe6,Shoe6,None,None,
G,Luke,Joeckel,78,62,72,87,74,13,38,45,74,73,40,28,35,86,Power,6,25,10,45,21,19,95,82,72,24,70,72,40,Mississippi State,11/6/1991,9078,0004,4,Right,312,6'6",Large,Skin1,Face5,No,Standard,FaceMask7,Clear,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
G,Richie,Incognito,64,71,54,94,45,14,26,25,84,83,31,15,10,97,Power,6,14,10,25,8,9,91,89,92,27,90,92,25,Nebraska,7/5/1983,9064,0004,12,Right,324,6'3",Large,Skin1,Face13,No,Standard,FaceMask10,None,No,No,Team1,Team1,TapedSmall,TapedSmall,None,None,None,Shoe4,Shoe4,Bulging,None,
CB,Bashaud,Breeland,26,87,91,54,85,73,54,62,45,45,73,10,30,69,Finesse,6,20,10,63,22,17,93,89,78,33,76,78,68,Clemson,1/30/1992,9026,0004,3,Right,185,6'0",Normal,Skin4,Face3,No,Standard,FaceMask5,None,No,No,Team3,Team3,ElasticLarge,ElasticLarge,None,None,None,Shoe6,Shoe6,None,None,
CB,Dominique,Rodgers-Cromartie,41,93,92,51,96,76,51,55,45,45,78,45,30,65,Finesse,6,40,10,47,25,25,92,86,88,35,86,88,50,Tennessee State,4/7/1986,9041,0004,9,Right,193,6'2",Skinny,Skin4,Face7,No,Revolution,FaceMask5,None,No,No,Team3,Team3,SingleWhite,SingleWhite,None,None,None,Shoe6,Shoe6,None,None,
CB,Jeremy,Lane,20,88,88,53,96,73,50,57,45,45,68,15,16,66,Finesse,6,22,10,59,25,25,93,90,69,33,67,69,72,Northwestern State,7/14/1990,9477,0004,5,Right,190,6'0",Skinny,Skin4,Face6,No,Standard,FaceMask5,None,No,No,Team3,Team3,NeopreneSmall,NeopreneSmall,None,None,None,Shoe6,Shoe6,None,None,
CB,Kayvon,Webster,21,90,88,58,87,77,58,66,45,45,59,25,33,88,Finesse,6,35,10,71,20,20,95,91,80,34,78,80,70,South Florida,2/1/1991,9682,0004,4,Right,198,5'11",Normal,Skin4,Face5,No,Standard,FaceMask5,Clear,No,No,Team3,Team3,TapedLarge,TapedLarge,None,None,None,Shoe6,Shoe6,None,None,
CB,Lardarius,Webb,21,90,90,51,90,68,65,73,45,45,70,15,20,76,Finesse,11,25,10,64,20,20,95,88,77,40,75,77,60,Nicholls State,10/12/1985,9419,0004,10,Right,182,5'10",Skinny,Skin5,Face5,Yes,Standard,FaceMask5,None,No,No,Team2,Team2,None,None,None,None,None,Shoe6,Shoe6,None,None,
DE,Charles,Johnson,95,76,74,82,83,55,73,74,45,45,40,25,30,82,Balanced,6,14,10,77,16,11,79,92,86,29,84,86,81,Georgia,7/10/1986,1327,1327,9,Right,285,6'2",Large,Skin3,Face3,No,Standard,FaceMask6,None,No,No,Team3,Team3,TapedSmall,TapedSmall,None,None,None,Shoe6,Shoe6,None,None,
DE,Johnathan,Hankins,95,61,64,93,67,32,86,84,45,45,30,10,35,72,Power,6,10,10,85,11,10,77,92,88,24,86,88,65,Ohio State,3/29/1992,9095,0004,3,Right,320,6'2",ExtraLarge,Skin6,Face5,No,Standard,FaceMask7,Clear,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
DE,Karl,Klug,97,75,68,81,55,39,75,76,45,69,32,15,44,92,Balanced,6,28,10,78,17,16,74,84,79,29,77,79,67,Iowa,3/31/1988,9097,0004,7,Right,278,6'3",Large,Skin1,Face4,No,Standard,FaceMask7,None,No,No,Type4,Type4,TapedSmall,TapedSmall,None,None,None,Shoe2,Shoe2,None,None,
DE,Quinton,Dial,91,62,65,87,66,28,69,71,45,45,34,15,25,69,Power,6,36,10,81,20,20,71,85,77,24,75,77,78,Alabama,7/21/1990,9091,0004,5,Right,318,6'5",ExtraLarge,Skin6,Face5,No,Standard,FaceMask7,Clear,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
DE,Robert,Ayers Jr,91,77,73,78,69,40,82,83,45,45,34,15,50,80,Balanced,6,36,10,79,37,16,74,87,84,29,82,84,78,Tennessee,9/6/1985,9091,0004,10,Right,275,6'3",Large,Skin6,Face5,No,Standard,FaceMask7,Clear,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
DE,Ryan,Davis,56,76,81,74,82,45,74,76,45,45,54,10,56,76,Balanced,6,24,10,70,15,17,74,90,71,29,69,71,71,Bethune-Cookman,2/24/1989,9305,0004,6,Right,260,6'2",Normal,Skin3,Face5,No,Revolution,FaceMask7,None,No,No,Team1,Team1,NeopreneSmall,NeopreneSmall,None,None,None,Shoe3,Shoe3,None,None,
DT,Alan,Branch,97,65,54,91,45,26,71,73,45,45,25,10,10,86,Power,6,16,10,82,17,26,65,87,73,25,71,73,67,Michigan,12/29/1984,9097,0004,11,Right,325,6'6",ExtraLarge,Skin2,Face2,No,Standard,FaceMask6,None,No,No,Team3,Team3,TapedSmall,TapedSmall,None,None,None,Shoe6,Shoe6,None,None,
OLB,Ahmad,Brooks,55,79,74,83,75,59,77,79,45,45,55,10,35,88,Balanced,6,20,10,69,27,23,89,87,76,30,74,76,86,Virginia,3/14/1984,9369,0004,11,Right,259,6'3",Normal,Skin3,Face14,No,Standard,FaceMask10,None,No,No,Team3,Team3,TapedSmall,TapedSmall,HighWhite,HighWhite,None,Shoe3,Shoe3,None,None,
OLB,Connor,Barwin,98,83,80,80,92,68,67,71,45,45,66,20,60,90,Balanced,6,12,10,79,16,17,85,94,75,31,73,75,76,Cincinnati,10/15/1986,9098,0004,9,Right,264,6'4",Large,Skin1,Face11,No,Revolution,FaceMask10,None,No,No,Team1,Team1,SingleBlack,SingleBlack,None,None,None,Shoe3,Shoe3,None,None,
OLB,Junior,Galette,58,77,78,75,74,57,70,74,45,45,40,15,10,87,Balanced,6,20,10,78,21,14,87,73,81,29,79,81,82,None,3/27/1988,9058,0004,7,Right,258,6'2",Normal,Skin4,Face13,No,Standard,FaceMask12,Clear,No,No,Type1,Type1,ElasticLarge,ElasticLarge,None,None,None,Shoe6,Shoe6,None,None,
OLB,Lamarr,Houston,58,75,72,85,75,54,79,81,45,45,46,15,20,72,Power,6,20,10,82,20,20,91,83,79,29,77,79,76,Texas,6/24/1987,9721,0004,8,Right,274,6'3",Large,Skin6,Face5,No,Standard,FaceMask7,Clear,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
OLB,Lawrence,Timmons,94,80,83,75,86,73,80,82,45,45,58,20,10,82,Balanced,6,13,10,86,20,11,94,92,87,30,85,87,91,Florida State,5/14/1986,9094,0004,9,Right,234,6'1",Large,Skin6,Face5,No,Standard,FaceMask7,Clear,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
OLB,Tamba,Hali,91,75,74,89,74,59,78,79,45,45,47,15,10,84,Power,6,32,10,81,16,6,90,91,86,29,84,86,86,Penn State,11/3/1983,9091,0004,12,Right,275,6'3",Large,Skin6,Face15,No,Standard,FaceMask24,Dark,No,No,Team3,Team3,TapedSmall,TapedSmall,None,None,White,Taped,Taped,None,None,
OLB,Willie,Young,97,75,71,78,84,54,73,75,45,45,44,10,19,77,Balanced,6,17,10,76,21,20,84,90,81,29,79,81,84,Middle Tennessee St,9/19/1985,9327,0004,10,Right,258,6'4",Large,Skin6,Face5,No,Standard,FaceMask7,Clear,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
ILB,Derrick,Johnson,56,82,83,73,74,79,74,76,45,45,74,15,25,90,Balanced,6,8,10,88,21,10,93,82,92,31,90,92,88,Texas,11/22/1982,9301,0004,13,Right,242,6'3",Normal,Skin3,Face2,No,Standard,FaceMask7,Clear,No,No,Team3,Team3,TapedSmall,TapedSmall,None,None,None,Shoe3,Shoe3,None,None,
ILB,NaVorro,Bowman,53,82,82,80,75,55,76,79,45,45,65,10,10,75,Balanced,6,22,10,88,10,10,91,86,85,31,83,85,93,Penn State,5/28/1988,9537,0004,7,Right,242,6'0",Normal,Skin4,Face11,No,Revolution,FaceMask7,Clear,Yes,No,Team3,Team3,DoubleBlack,DoubleBlack,None,None,None,Shoe3,Shoe3,None,None,
FS,Corey,Graham,24,87,86,62,81,66,51,54,45,45,73,30,25,85,Finesse,6,35,10,79,20,20,94,88,75,33,73,75,65,New Hampshire,7/25/1985,9398,0004,10,Right,196,6'0",Normal,Skin6,Face5,No,Standard,FaceMask7,Clear,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
FS,Mike,Mitchell,23,87,82,67,87,73,52,54,45,45,76,20,60,93,Balanced,6,24,10,70,26,19,89,90,77,33,75,77,91,Ohio,6/10/1987,9338,0004,8,Right,210,6'0",Normal,Skin2,Face7,No,Revolution,FaceMask5,None,No,No,Type2,Type2,DoubleBlack,DoubleBlack,None,None,None,Shoe6,Shoe6,None,None,
