#Key=fname,lname,Position,Skin
A.J.,Derby,TE,Skin1
A.J.,Klein,OLB,Skin1
A.J.,Klien,OLB,Skin1
A.J.,Moore Jr,FS,Skin12
A.Q.,Shipley,C,Skin1
Aaron,Brewer,C,Skin1
Aaron,Brewer,TE,Skin1
Aaron,Lynch,OLB,Skin2
Aaron,Stinnie,G,Skin1
Adam,Gotsis,DE,Skin1
Adam,Humphries,WR,Skin1
Adam,Redmond,C,Skin1
Adam,Shaheen,TE,Skin1
Adam,Thielen,WR,Skin1
Ahmad,Gooden,OLB,Skin17
Alan,Cross,TE,Skin1
Alejandro,Villanueva,T,Skin1
Alex,Anzalone,OLB,Skin1
Alex,Cappa,G,Skin1
Alex,Erickson,WR,Skin1
Alex,Lewis,G,Skin1
Alex,Light,T,Skin1
Alex,Mack,C,Skin1
Alex,Redmond,G,Skin1
Alex,Wesley,WR,Skin13
Ali,Marpet,G,Skin1
Allen,Lazard,WR,Skin1
Alton,Robinson,DE,Skin17
Amini,Silatolu,G,Skin1
Andrew,DePaola,TE,Skin1
Andrew,Donnal,T,Skin1
Andrew,Norwell,G,Skin1
Andrew,Sendejo,SS,Skin1
Andrew,Van Ginkel,MLB,Skin1
Andrew,Vollert,TE,Skin1
Andrew,Whitworth,T,Skin1
Andrew,Whitworth,T,Skin3
Andrew,Wingard,SS,Skin11
Andrew,Wylie,G,Skin1
Andrus,Peat,G,Skin1
Andy,Isabella,WR,Skin1
Andy,Janovich,FB,Skin1
Andy,Levitre,G,Skin1
Anthony,Auclair,TE,Skin1
Anthony,Castonzo,T,Skin1
Anthony,Chickillo,OLB,Skin1
Anthony,McFarland,RB,Skin17
Anthony,Nelson,OLB,Skin1
Anthony,Sherman,FB,Skin1
Anthony,Zettel,DE,Skin1
Antonio,Freeman,WR,Skin19
Armani,Watts,FS,Skin17
Armon,Watts,DT,Skin17
Ashton,Dulin,WR,Skin17
Austin,Blythe,C,Skin1
Austin,Carr,WR,Skin1
Austin,Corbett,G,Skin1
Austin,Fleer,T,Skin1
Austin,Hooper,TE,Skin1
Austin,Proehl,WR,Skin1
Austin,Reiter,C,Skin1
Aviante,Collins,T,Skin2
B.J.,Finney,G,Skin1
Beau,Allen,DT,Skin1
