#fname,lname,Position,JerseyNumber,College,DOB,Hand,Weight,Height,BodyType,Skin,Face,Dreads,Helmet,FaceMask,Visor,EyeBlack,MouthPiece,LeftGlove,RightGlove,LeftWrist,RightWrist,LeftElbow,RightElbow,Sleeves,LeftShoe,RightShoe,NeckRoll,Turtleneck
Charvarius,Ward,CB,7,Minnesota,5/16/1996,Right,196,6'1",Normal,Skin5,Face7,Yes,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Jason,Verrett,CB,2,TCU,5/13/1991,Right,176,5'10",Normal,Skin11,Face1,Yes,Revolution,FaceMask5,Clear,No,Yes,Type3,Type3,NeopreneSmall,NeopreneSmall,HighBlack,HighBlack,None,Shoe3,Shoe3,None,None,
Emmanuel,Moseley,CB,4,Tennessee,3/25/1996,Right,190,5'11",Normal,Skin6,Face7,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Ambry,Thomas,CB,20,Michigan,9/9/1999,Right,189,6'0",Normal,Skin21,Face2,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Deommodore,Lenoir,CB,38,Oregon,10/6/1999,Right,199,5'10",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Samuel,Womack III,CB,26,Toledo,7/7/1999,Right,189,5'9",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Nick,Bosa,DE,97,Ohio State,10/23/1997,Right,266,6'4",Large,Skin1,Face6,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Samson,Ebukam,DE,56,Alabama,5/9/1995,Right,245,6'3",Large,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Kerry,Hyder Jr,DE,92,Texas Tech,5/2/1991,Right,280,6'2",Large,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Drake,Jackson,DE,95,USC,4/12/2001,Right,273,6'3",Large,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Charles,Omenihu,DE,94,Texas,8/20/1997,Right,280,6'5",Large,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Arik,Armstead,DT,91,Oregon,11/15/1993,Right,292,6'7",Large,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Javon,Kinlaw,DT,99,South Carolina,10/3/1997,Right,319,6'5",ExtraLarge,Skin6,Face3,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Maurice,Hurst,DT,96,Michigan,5/9/1995,Right,291,6'2",ExtraLarge,Skin5,Face3,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Kevin,Givens,DT,90,Penn State,3/1/1997,Right,285,6'1",ExtraLarge,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Kyle,Juszczyk,FB,44,Harvard,4/23/1991,Right,245,6'1",Normal,Skin1,Face4,No,Standard,FaceMask7,None,No,No,Team4,Team4,NeopreneSmall,NeopreneSmall,HighBlack,HighBlack,None,Shoe6,Shoe6,None,None,
Tashaun,Gipson Sr,FS,31,Wyoming,8/7/1990,Right,207,5'11",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Tarvarius,Moore,FS,33,Southern Miss,8/16/1996,Right,200,6'2",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Aaron,Banks,G,65,Notre Dame,9/3/1997,Right,325,6'5",ExtraLarge,Skin21,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Spencer,Burford,G,74,Ohio Northern,7/19/2000,Right,301,6'4",ExtraLarge,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Nick,Zakelj,G,63,A hands-on coach who brings a lot to the,6/22/1999,Right,316,6'6",Large,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Christian,McCaffrey,RB,23,Stanford,6/7/1996,Right,202,5'11",Normal,Skin1,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Tyrion,Davis-Price,RB,32,Virginia Tech,10/23/2000,Right,219,6'0",Normal,Skin5,Face6,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Elijah,Mitchell,RB,25,Louisville,5/2/1998,Right,201,5'10",Normal,Skin4,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Jordan,Mason,RB,24,Georgia Tech,5/24/1999,Right,223,5'11",Large,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Fred,Warner,ILB,54,BYU,11/19/1996,Left,230,6'3",Normal,Skin3,Face1,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
Oren,Burks,ILB,48,Vanderbilt,3/21/1995,Right,233,6'3",Large,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,
