
#Team = 49ers Players:53
#team,firstName,lastName,position,jerseyNum,ovr,speed,acceleration,strength,agility,awareness,catching,carrying,throwPower,throwAccuracy,throwAccuracyShort,throwAccuracyMid,throwAccuracyDeep,kickPower,kickAccuracy,runBlock,passBlock,tackle,jumping,kickReturn,injury,stamina,toughness,trucking,elusiveness,bCVision,stiffArm,spinMove,jukeMove,impactBlocking,powerMoves,finesseMoves,blockShedding,pursuit,playRecognition,manCoverage,zoneCoverage,spectacularCatch,catchInTraffic,routeRunning,hitPower,press,release,playAction,throwOnTheRun,height,weight,yearsPro,totalSalary,signingBonus,plyrBirthdate,plyrHandedness,college
49ers,Jimmy,Garoppolo,QB,10,83,74,82,63,75,86,35,63,94,83,89,83,77,20,10,10,10,16,78,10,93,93,90,42,47,65,39,55,62,10,10,10,16,37,22,17,19,25,15,15,12,10,20,82,85,74,225,4,95500000,35000000,11/2/1991,Right,E. Illinois
49ers,C.J.,Beathard,QB,3,70,78,81,64,77,73,30,60,88,78,83,78,74,20,15,14,21,28,83,5,86,92,81,48,56,70,54,52,68,14,8,10,28,36,26,10,14,19,17,12,24,9,13,81,81,74,219,1,3181000,700000,11/16/1993,Right,Iowa
49ers,Jerick,McKinnon,HB,28,85,93,93,73,96,81,73,85,57,44,48,46,40,28,22,52,61,32,95,82,85,91,87,59,89,81,53,78,91,49,10,10,35,22,28,45,50,60,62,59,12,30,69,15,45,69,205,4,28000000,2000000,5/3/1992,Right,Ga. Southern
49ers,Matt,Breida,HB,22,76,93,92,73,89,73,64,86,27,20,25,20,17,19,15,35,41,38,95,59,89,87,84,65,76,80,64,75,87,41,18,22,31,33,18,12,16,59,59,52,31,14,47,18,24,71,200,1,1670000,0,2/28/1995,Right,Ga. Southern
49ers,Alfred,Morris,HB,46,76,87,87,82,82,78,60,93,38,10,10,10,10,25,25,63,52,45,86,54,94,93,90,85,70,84,84,76,78,61,10,10,25,55,15,13,25,53,63,44,20,20,65,10,10,70,224,6,790000,0,12/12/1988,Right,FAU
49ers,Raheem,Mostert,HB,31,67,93,94,67,87,62,60,69,30,28,35,30,20,25,25,49,34,39,90,85,87,89,81,56,78,68,71,76,83,29,10,10,27,48,20,15,20,46,59,47,20,20,51,15,15,70,195,3,705000,0,4/9/1992,Right,Purdue
49ers,Kyle,Juszczyk,FB,44,84,82,88,79,80,84,71,76,35,15,20,15,10,19,19,70,52,45,89,45,93,89,87,84,68,81,81,72,76,69,30,35,33,48,20,15,20,77,77,66,45,20,72,10,10,73,240,5,15600000,5000000,4/23/1991,Right,Harvard
49ers,Pierre,Garcon,WR,15,86,89,91,66,87,93,96,78,35,10,15,10,6,30,30,57,40,35,90,77,90,94,72,77,80,85,74,78,86,62,10,10,35,35,20,10,25,87,87,85,12,18,81,6,10,72,211,10,35000000,7000000,8/8/1986,Right,Mount Union
49ers,Marquise,Goodwin,WR,11,83,95,96,42,91,87,86,77,34,10,15,10,6,21,20,56,32,25,93,83,86,90,71,38,76,81,46,78,75,40,10,10,37,44,24,18,25,84,79,84,15,10,75,6,10,69,179,5,18250000,2500000,11/19/1990,Right,Texas
49ers,Trent,Taylor,WR,81,76,88,90,61,92,68,86,66,31,23,28,23,18,13,15,44,44,35,80,80,88,91,84,59,82,84,61,79,86,51,15,23,31,39,23,15,23,83,81,81,48,24,65,24,28,68,181,1,2557000,200000,4/30/1994,Right,LA. Tech
49ers,Dante,Pettis,WR,18,76,90,92,50,94,54,85,75,42,33,37,34,30,20,14,43,28,30,92,88,88,91,82,34,86,85,47,78,87,39,10,10,20,32,15,15,24,85,79,80,17,20,77,23,24,73,192,0,6400655,2730000,10/23/1995,Right,Washington
49ers,Kendrick,Bourne,WR,84,72,87,91,65,93,77,81,74,28,10,15,10,6,23,22,41,48,27,86,67,88,86,77,42,78,79,46,73,76,42,11,11,22,32,21,16,24,77,76,73,15,16,74,6,10,73,203,1,1665000,0,8/4/1995,Right,Eastern Wash.
49ers,Richie,James Jr,WR,13,68,90,91,44,90,56,78,70,46,33,39,34,26,16,11,43,34,27,85,79,86,89,76,39,80,84,42,82,87,41,10,10,23,31,18,16,23,83,75,76,17,13,67,29,38,69,178,0,2491573,70000,9/5/1995,Right,Mid Tenn St.
49ers,George,Kittle,TE,85,77,87,88,71,76,77,85,77,30,15,20,15,10,19,22,60,54,34,91,10,88,85,80,74,60,77,58,59,72,72,20,18,31,36,35,15,24,82,76,67,38,20,65,10,10,76,247,1,2654000,290000,10/9/1993,Right,Iowa
