Key=fname,lname,Position,JerseyNumber,Speed,Agility,Strength,Jumping,Coverage,PassRush,RunCoverage,PassBlocking,RunBlocking,Catch,RunRoute,BreakTackle,HoldOntoBall,PowerRunStyle,PassAccuracy,PassArmStrength,PassReadCoverage,Tackle,KickPower,KickAccuracy,Stamina,Durability,Leadership,Scramble,Composure,Consistency,Aggressiveness,College,DOB,Hand,Weight,Height,BodyType,Skin,Face,Dreads,Helmet,FaceMask,Visor,EyeBlack,MouthPiece,LeftGlove,RightGlove,LeftWrist,RightWrist,LeftElbow,RightElbow,Sleeves,LeftShoe,RightShoe,NeckRoll,Turtleneck,YearsPro

Team = 49ers
Jimmy,Garoppolo,QB,10,74,75,63,78,18,17,26,10,10,35,15,42,90,Balanced,83,94,86,16,20,10,93,93,86,82,84,86,12,Eastern Illinois,11/2/1991,Right,219,"6' 2""",Normal,Skin 1,Face 6,No,Standard,Type 2,None,No,No,None,None,Single White,Single White,None,None,None,Style 6,Style 6,None,None,,4
C.J.,Beathard,QB,3,78,77,64,83,12,27,32,21,14,30,12,48,81,Balanced,78,88,73,28,20,15,92,86,73,80,71,73,24,Iowa,11/16/1993,Right,219,"6'2""",Normal,Skin1,Face5,No,Standard,FaceMask7,None,Yes,No,None,None,None,None,None,None,None,Shoe3,Shoe3,None,None,,1
Jerick,McKinnon,RB,28,93,96,73,95,47,33,28,61,52,73,59,59,87,Finesse,44,57,10,32,28,22,91,85,81,62,79,81,12,Georgia Southern,5/3/1992,Right,173,"5' 8""",Normal,Skin 5,Face 7,No,Standard,Type 5,None,No,Yes,Team 2,Team 2,Neoprene Small,Neoprene Small,None,None,None,Style 3,Style 3,None,None,,4
Matt,Breida,RB,22,93,89,73,95,14,28,32,41,35,64,52,65,84,Finesse,20,27,10,38,19,15,87,89,73,47,71,73,31,Vanderbilt,2/28/1995,Right,190,"5'11""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,,1
Alfred,Morris,RB,46,87,82,82,86,19,23,40,52,63,60,44,85,90,Balanced,10,38,10,45,25,25,93,94,78,35,76,78,20,None,12/12/1988,Right,218,"5' 10""",Normal,Skin 4,Face 6,No,Standard,Type 5,None,No,No,Team 3,Team 3,None,None,None,None,None,Style 4,Style 4,None,None,,6
Raheem,Mostert,RB,31,93,87,67,90,17,25,37,34,49,60,47,56,81,Finesse,28,30,10,39,25,25,89,87,62,47,60,62,20,Purdue,4/9/1992,Right,195,"5'10""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,,3
Kyle,Juszczyk,FB,44,82,80,79,89,17,30,40,52,70,71,66,84,87,Balanced,15,35,10,45,19,19,89,93,84,37,82,84,45,Harvard,4/23/1991,Right,245,"6' 1""",Normal,Skin 1,Face 4,No,Standard,Type 7,None,No,No,Team 4,Team 4,Neoprene Small,Neoprene Small,High Black,High Black,None,Style 6,Style 6,None,None,,5
Pierre,Garcon,WR,15,89,87,66,90,17,32,35,40,57,96,85,77,72,Finesse,10,35,10,35,30,30,94,90,93,38,91,93,12,Mount Union,8/8/1986,Right,212,"6 '0""",Normal,Skin 5,Face 5,No,Standard,Type 5,None,No,No,Team 1,Team 1,None,None,High White,High White,None,Style 6,Style 6,None,None,,10
Marquise,Goodwin,WR,11,95,91,42,93,21,34,40,32,56,86,84,38,71,Finesse,10,34,10,25,21,20,90,86,87,40,85,87,15,Texas,11/19/1990,Right,179,"5' 9""",Normal,Skin 4,Face 4,No,Standard,Type 2,None,Yes,No,Team 1,Team 1,None,None,None,None,None,Style 1,Style 1,None,None,,5
Trent,Taylor,WR,81,88,92,61,80,19,29,35,44,44,86,81,59,84,Finesse,23,31,10,35,13,15,91,88,68,48,66,68,48,California,4/30/1994,Right,181,"5'8""",Normal,Skin1,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,,1
Dante,Pettis,WR,18,90,94,50,92,19,19,26,28,43,85,80,34,82,Finesse,33,42,10,30,20,14,91,88,54,50,52,54,17,Washington,10/23/1995,Right,192,73",Normal,Skin 2,Face 5,No,Standard,FaceMask7,Clear,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,0
Kendrick,Bourne,WR,84,87,93,65,86,20,21,27,48,41,81,73,42,77,Finesse,10,28,10,27,23,22,86,88,77,37,75,77,15,Michigan State,8/4/1995,Right,203,"6'1""",Normal,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,,1
Richie,James Jr,WR,13,90,90,44,85,19,22,27,34,43,78,76,39,76,Finesse,33,46,10,27,16,11,89,86,56,55,54,56,17,Mid Tenn St.,9/5/1995,Right,178,69",Normal,Skin 6,Face 5,No,Standard,FaceMask7,Clear,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,0
George,Kittle,TE,85,87,76,71,91,19,31,33,54,60,85,67,74,80,Balanced,15,30,10,34,19,22,85,88,77,39,75,77,38,Iowa,10/9/1993,Right,247,"6'4""",Large,Skin1,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,,1
Garrett,Celek,TE,88,79,76,73,83,18,44,44,54,76,82,64,64,76,Balanced,10,30,10,35,15,15,84,80,70,34,68,70,25,Michigan State,5/29/1988,Right,252,"6' 5""",Normal,Skin 1,Face 2,No,Standard,Type 7,None,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,White,,6
Cole,Wick,TE,89,76,79,70,86,17,31,34,58,67,76,57,67,81,Balanced,6,20,10,37,21,19,85,87,49,29,47,49,27,Incarnate Word,11/30/1993,Right,257,78",Large,Skin 1,Face 5,No,Standard,FaceMask7,Clear,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,2
Joe,Staley,T,74,74,74,92,78,12,22,28,88,88,62,34,10,86,Power,6,18,10,25,20,22,94,90,94,28,92,94,15,Central Michigan,8/30/1984,Right,315,"6' 5""",Large,Skin 1,Face 13,No,Standard,Type 10,None,No,No,Team 3,Team 3,Taped Small,Taped Small,Neoprene,Neoprene,None,Style 3,Style 3,None,None,,11
Shon,Coleman,T,78,66,67,86,74,13,14,19,73,73,30,6,31,87,Power,6,25,10,30,24,22,83,81,71,26,69,71,44,Auburn,11/25/1991,Right,310,"6'7""",Large,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,,2
Mike,McGlinchey,T,69,67,74,87,71,12,29,29,79,86,28,11,22,95,Power,6,11,10,32,15,12,86,94,68,26,66,68,38,Notre Dame,8/29/1994,Right,312,80",Large,Skin 1,Face 5,No,Standard,FaceMask7,Clear,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,0
Garry,Gilliam,T,76,71,63,84,84,20,21,28,71,74,25,6,15,75,Balanced,6,23,10,38,17,18,79,84,71,27,69,71,35,Penn State,11/26/1990,Right,315,"6'5""",ExtraLarge,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,,4
Laken,Tomlinson,G,75,66,57,87,81,13,20,27,73,78,20,6,15,84,Power,6,20,10,35,20,20,77,92,74,26,72,74,20,Duke,2/9/1992,Right,312,"6'3""",ExtraLarge,Skin6,Face5,No,Standard,FaceMask7,None,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,,3
Mike,Person,G,68,67,58,79,45,15,27,31,79,74,32,8,10,70,Balanced,6,11,10,30,18,18,74,90,66,26,64,66,25,Montana State,6/17/1988,Right,300,76",Large,Skin 1,Face 5,No,Standard,FaceMask7,Clear,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,7
Joshua,Garnett,G,65,62,57,84,67,13,25,28,73,73,33,8,31,81,Balanced,6,21,10,38,20,20,91,90,76,24,74,76,25,Stanford,2/21/1994,Right,305,77",Extra Large,Skin 1,Face 5,No,Standard,FaceMask7,Clear,Yes,No,Team3,Team3,None,None,None,None,None,Shoe3,Shoe3,None,None,2
